minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,number_of_deaths
0.9316,0.9596,0.9787,0.0369,0.9726,0.3986,0.2792,0.5689,0.2735,4844.0
0.9035,0.9796,0.9255,0.2302,0.9873,0.5985,0.7876,0.9427,0.716,3518.0
0.9589,0.9713,0.9825,0.113,0.9761,0.3626,0.4686,0.7039,0.3852,11662.0
0.8249,0.9605,0.8637,0.2709,0.9628,0.5033,0.7873,0.9039,0.5148,2263.0
0.56,0.6256,0.7017,0.5202,0.7192,0.6154,0.4425,0.752,0.6807,3110.0
0.6059,0.7428,0.5657,0.5775,0.7787,0.7587,0.2875,0.7377,0.8138,820.0
0.9357,0.916,0.8583,0.113,0.9109,0.4734,0.6004,0.7313,0.6511,4789.0
0.7619,0.9306,0.8621,0.219,0.9325,0.313,0.4489,0.6307,0.4285,4875.0
0.914,0.971,0.8036,0.1751,0.9643,0.6587,0.1751,0.6326,0.8832,6261.0
0.8937,0.9745,0.851,0.2346,0.9634,0.5985,0.17,0.6565,0.8634,1148.0
0.7017,0.8886,0.4811,0.7771,0.9382,0.5801,0.3206,0.7988,0.9491,1016.0
0.5279,0.5358,0.1592,0.8192,0.837,0.2763,0.5721,0.5677,0.731,251.0
0.9685,0.9914,0.5906,0.326,0.9866,0.5801,0.2451,0.6033,0.9376,4693.0
0.554,0.5702,0.4288,0.4368,0.7889,0.5033,0.8577,0.7574,0.568,823.0
0.8991,0.9729,0.894,0.1605,0.9666,0.263,0.3368,0.5447,0.5062,6707.0
0.8914,0.9475,0.9424,0.1815,0.9319,0.766,0.758,0.9532,0.6756,1624.0
0.8367,0.9182,0.7428,0.4368,0.972,0.6587,0.4674,0.8714,0.9513,1164.0
0.8758,0.9487,0.9554,0.3037,0.9408,0.3986,0.1076,0.5922,0.6332,4658.0
0.8876,0.8262,0.7947,0.7335,0.8984,0.8676,0.8682,0.9987,0.9834,206.0
0.7915,0.8918,0.9869,0.0331,0.7765,0.4187,0.0952,0.3833,0.3056,5228.0
0.6183,0.5762,0.5154,0.4865,0.8854,0.042,0.2862,0.3368,0.2569,154.0
0.8204,0.836,0.1156,0.5613,0.7383,0.5645,0.9984,0.7437,0.829,106.0
0.5934,0.7861,0.965,0.1086,0.5005,0.4358,0.717,0.603,0.17,2216.0
0.5973,0.7275,0.9815,0.113,0.4741,0.0872,0.0468,0.1471,0.0554,462.0
0.432,0.5893,0.2942,0.4117,0.1792,0.1754,0.8574,0.2174,0.1605,216.0
0.3493,0.2709,0.7619,0.2572,0.4406,0.0239,0.2833,0.1659,0.0121,101.0
0.916,0.8749,0.2254,0.7268,0.8669,0.5495,0.0793,0.4508,0.8857,123.0
0.5466,0.724,0.4209,0.6845,0.8208,0.2939,0.7447,0.7361,0.6874,481.0
0.8634,0.9414,0.9959,0.0108,0.815,0.9093,0.5661,0.8774,0.4798,6723.0
0.5135,0.511,0.8828,0.0181,0.1585,0.021,0.0236,0.0239,0.0175,1763.0
0.7291,0.9436,0.9911,0.2572,0.845,0.0353,0.0188,0.3063,0.1487,246.0
0.3715,0.4715,0.0592,0.1815,0.5333,0.0551,0.028,0.0108,0.0045,221.0
0.696,0.7202,0.9252,0.1296,0.6778,0.263,0.6148,0.5406,0.3642,7379.0
0.5788,0.7065,0.5533,0.5575,0.3763,0.3814,0.986,0.6759,0.688,758.0
0.7106,0.9172,0.7845,0.4976,0.9472,0.1754,0.4269,0.6651,0.4448,520.0
0.4304,0.6001,0.9589,0.2076,0.8313,0.0621,0.5323,0.5307,0.1032,125.0
0.4171,0.6339,0.9035,0.2652,0.8367,0.2206,0.8415,0.7819,0.2732,117.0
0.7593,0.1477,0.2525,0.4323,0.432,0.8153,0.6718,0.5358,0.5654,138.0
0.5877,0.6912,0.9535,0.0331,0.2827,0.2038,0.3754,0.1904,0.0748,5449.0
0.6345,0.9105,0.5747,0.6753,0.0818,0.0621,0.9417,0.397,0.5371,83.0
0.7822,0.8949,0.7854,0.6622,0.8637,0.2038,0.5435,0.7791,0.313,67.0
0.5798,0.4807,0.8424,0.6138,0.51,0.042,0.7224,0.6055,0.1207,492.0
0.5218,0.5581,0.8994,0.1691,0.4031,0.2038,0.6549,0.3938,0.1229,2883.0
0.8672,0.6546,0.4139,0.4578,0.1662,0.8609,0.8297,0.6036,0.6444,284.0
0.7323,0.8663,0.5269,0.6351,0.0468,0.5985,0.9987,0.6504,0.6842,61.0
0.5928,0.8128,0.7526,0.4323,0.1426,0.9023,0.8163,0.7733,0.5963,275.0
0.5425,0.5963,0.7208,0.4368,0.5422,0.3986,0.6008,0.588,0.5514,1952.0
0.5444,0.7899,0.8201,0.7733,0.5002,0.3298,0.2003,0.5473,0.3321,170.0
0.6644,0.4358,0.2534,0.7956,0.7402,0.0786,0.1452,0.2496,0.4282,360.0
0.6275,0.8542,0.6173,0.7147,0.6638,0.5339,0.2869,0.6555,0.7367,511.0
0.8093,0.9602,0.7908,0.6004,0.9405,0.4734,0.3037,0.8055,0.7647,348.0
0.8551,0.8087,0.5444,0.2913,0.7125,0.6705,0.6339,0.6749,0.9424,310.0
0.3594,0.1324,0.0248,0.1566,0.2802,0.021,0.0853,0.0022,0.0,205.0
0.4616,0.5571,0.9898,0.219,0.4973,0.2763,0.0758,0.2684,0.0579,98.0
0.8013,0.8924,0.6224,0.5737,0.6434,0.5033,0.694,0.7689,0.9417,185.0
0.8695,0.6504,0.8274,0.2455,0.5578,0.8153,0.645,0.7943,0.8676,2629.0
0.418,0.5053,0.7857,0.4368,0.8211,0.1907,0.8026,0.7692,0.2541,75.0
0.8685,0.8653,0.6708,0.6046,0.9185,0.8676,0.4737,0.944,0.9223,173.0
0.362,0.8023,0.9784,0.2572,0.5778,0.1519,0.4212,0.4225,0.0528,206.0
0.8316,0.9201,0.0408,0.7791,0.9134,0.4734,0.0293,0.3473,0.7186,94.0
0.5517,0.8711,0.9975,0.057,0.9172,0.0318,0.27,0.3607,0.072,149.0
