fips,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
48361,1599.0,83751.0,333.7807952,250.9161737,0.5454,0.4941,0.6746,0.7058,0.7657,0.4358,0.1522,0.6081,0.5858,6778.0,20906.0,19747.0,8708.0
48363,500.0,27922.0,952.24868,29.32217244,0.6332,0.8809,0.5205,0.7335,0.9236,0.7049,0.157,0.7695,0.836,3078.0,6638.0,6510.0,3223.0
48365,404.0,23771.0,811.35501,29.29790253,0.6574,0.752,0.2213,0.9112,0.6555,0.1076,0.4495,0.4005,0.5033,2695.0,4950.0,5554.0,2542.0
48367,1676.0,123601.0,903.4770279,136.8059134,0.4941,0.7268,0.4514,0.7574,0.7017,0.0872,0.4807,0.4667,0.2754,10219.0,25888.0,29970.0,23710.0
48369,96.0,9921.0,880.8191841,11.26337866,0.9503,0.9911,0.5103,0.5963,0.9863,0.1754,0.1092,0.419,0.7609,1747.0,1864.0,1308.0,1070.0
48371,182.0,15826.0,4763.832631,3.322115033,0.9761,0.9675,0.7287,0.7335,0.9529,0.3814,0.9615,0.9768,0.7529,3257.0,3788.0,2462.0,1037.0
48373,1035.0,46583.0,1057.044274,44.06910963,0.6886,0.8351,0.3075,0.88,0.8577,0.4877,0.9166,0.9207,0.9398,6460.0,13896.0,10228.0,4618.0
48375,1872.0,121883.0,908.4022037,134.1729462,0.9029,0.9643,0.8962,0.3719,0.9522,0.7182,0.8367,0.9799,0.9249,17425.0,24254.0,22760.0,11275.0
48377,60.0,7144.0,3855.25065,1.853057206,0.9898,0.9994,0.1006,0.8192,0.9615,0.8153,0.0181,0.5973,0.9822,2055.0,701.0,721.0,934.0
48379,232.0,11087.0,229.4529151,48.31928152,0.4651,0.5715,0.3238,0.8774,0.8937,0.1519,0.0646,0.384,0.5107,1277.0,3542.0,2716.0,1199.0
48381,1496.0,128603.0,911.9125403,141.0255856,0.6495,0.6517,0.9128,0.3566,0.6332,0.0621,0.4441,0.4339,0.2509,6766.0,20196.0,32769.0,28659.0
48383,0.0,3625.0,1175.313455,3.084283588,0.9624,0.9828,0.0,0.6622,0.7004,0.313,0.1541,0.1831,0.547,387.0,911.0,649.0,228.0
48385,0.0,3348.0,699.1584846,4.788613846,0.5724,0.8567,0.0,0.9226,0.397,0.1175,0.7147,0.3075,0.7466,377.0,687.0,801.0,392.0
48387,251.0,12455.0,1043.875699,11.93149722,0.6635,0.1573,0.1904,0.6963,0.3034,0.6154,0.4336,0.3486,0.5428,1305.0,3600.0,2904.0,1112.0
48389,176.0,14438.0,2635.352447,5.478584094,0.9857,0.994,0.3314,0.5164,0.908,0.5645,0.9828,0.8803,0.7905,3177.0,3433.0,2599.0,1291.0
48391,129.0,7315.0,770.4841314,9.494030703,0.9185,0.8271,0.0579,0.5575,0.879,0.7284,0.5724,0.6441,0.8959,951.0,1852.0,1459.0,555.0
48393,0.0,939.0,924.0573166,1.016170732,0.0946,0.0,0.0,0.2404,0.0,0.0372,0.0,0.0003,0.0131,41.0,170.0,209.0,140.0
48395,298.0,16537.0,855.6837362,19.32606558,0.8252,0.8427,0.1165,0.8434,0.5683,0.8195,0.2461,0.5317,0.8048,1795.0,4123.0,3811.0,1870.0
48397,765.0,88010.0,127.1066919,692.4104362,0.6702,0.8198,0.7291,0.2018,0.5298,0.0551,0.0971,0.1168,0.1156,4591.0,11825.0,21001.0,25668.0
48399,168.0,10411.0,1050.944167,9.906330253,0.7819,0.5918,0.0713,0.3085,0.0898,0.0974,0.5447,0.0245,0.4499,1470.0,2488.0,1823.0,1281.0
48401,806.0,53197.0,924.0364794,57.57023795,0.7558,0.8421,0.3247,0.7864,0.6944,0.3626,0.9201,0.7934,0.788,7133.0,11707.0,12303.0,5700.0
48403,261.0,10367.0,491.4073695,21.09654971,0.454,0.1713,0.0764,0.986,0.5543,0.5645,0.1382,0.3868,0.6928,1215.0,2819.0,2500.0,1394.0
48405,181.0,8556.0,530.6567282,16.12341754,0.7109,0.2681,0.07,0.816,0.8739,0.7475,0.674,0.8364,0.8863,1076.0,2442.0,1725.0,853.0
